date,open,high,low,close,volume,dividends,splits
2012-10-05,127.09,127.31,126.04,126.43,124842100,0.0,0
2012-10-08,125.96,126.41,125.71,125.99,78415400,0.0,0
2012-10-09,125.9,126.0,124.7,124.75,148872900,0.0,0
2012-10-10,124.73,124.85,123.79,123.95,124247500,0.0,0
2012-10-11,124.82,125.0,123.99,124.02,123601500,0.0,0
2012-10-12,124.11,124.53,123.35,123.61,124181900,0.0,0
2012-10-15,123.91,124.77,123.51,124.64,107689100,0.0,0
2012-10-16,125.23,125.99,125.14,125.91,108815500,0.0,0
2012-10-17,125.99,126.58,125.8,126.48,128834100,0.0,0
2012-10-18,126.15,126.75,125.72,126.15,148108500,0.0,0
2012-10-19,125.91,125.92,123.75,124.05,185645200,0.0,0
2012-10-22,123.84,124.29,123.09,124.06,125578600,0.0,0
2012-10-23,122.72,122.9,121.83,122.34,192056300,0.0,0
2012-10-24,122.78,122.93,121.81,122.0,120179400,0.0,0
2012-10-25,122.86,123.09,121.61,122.35,134457400,0.0,0
2012-10-26,122.24,122.71,121.45,122.28,146023500,0.0,0
2012-10-31,122.71,122.87,121.7,122.28,103438500,0.0,0
2012-11-01,122.54,123.72,122.43,123.56,100995600,0.0,0
2012-11-02,124.3,124.33,122.33,122.46,137702200,0.0,0
2012-11-05,122.28,122.99,121.92,122.71,98378500,0.0,0
2012-11-06,123.09,124.16,122.96,123.67,107068100,0.0,0
2012-11-07,122.55,122.57,120.3,120.87,264304500,0.0,0
2012-11-08,120.85,121.47,119.32,119.42,181517300,0.0,0
2012-11-09,119.05,120.63,118.99,119.52,201055300,0.0,0
2012-11-12,119.89,120.08,119.35,119.62,97677500,0.0,0
2012-11-13,118.99,120.46,118.83,119.2,123018300,0.0,0
2012-11-14,119.57,119.76,117.32,117.59,191505000,0.0,0
2012-11-15,117.64,118.08,116.94,117.39,178128400,0.0,0
2012-11-16,117.57,118.21,116.53,117.97,239483900,0.0,0
2012-11-19,119.3,120.38,118.01,120.36,151495800,0.0,0
2012-11-20,120.17,120.61,119.45,120.41,119807400,0.0,0
2012-11-21,120.52,120.74,120.27,120.64,81710800,0.0,0
2012-11-23,121.23,122.32,121.15,122.28,65409200,0.0,0
2012-11-26,121.68,122.29,121.28,122.02,100124400,0.0,0
2012-11-27,121.9,122.32,121.32,121.4,128646200,0.0,0
2012-11-28,120.91,122.45,120.25,122.38,177086500,0.0,0
2012-11-29,122.84,123.28,122.3,122.95,151085900,0.0,0
2012-11-30,122.96,123.21,122.55,122.97,136568300,0.0,0
2012-12-03,123.54,123.64,122.27,122.37,124656300,0.0,0
2012-12-04,122.36,122.73,121.87,122.19,127512200,0.0,0
2012-12-05,122.3,122.98,121.43,122.41,147300500,0.0,0
2012-12-06,122.3,122.88,122.12,122.83,103220600,0.0,0
2012-12-07,123.3,123.44,122.56,123.2,108726400,0.0,0
2012-12-10,123.03,123.54,122.97,123.25,98840700,0.0,0
2012-12-11,123.76,124.67,123.7,124.09,152570400,0.0,0
2012-12-12,124.57,125.05,123.98,124.15,145880100,0.0,0
2012-12-13,124.07,124.43,123.08,123.39,135715000,0.0,0
